species,decimalLongitude,decimalLatitude
Anabaena,23.674,65.76317
Anabaena,23.94233,65.75133
Anabaena,23.69833,65.83
Anabaena,22.704,65.86133
Anabaena,22.64,65.89667
Anabaena,22.413,65.77167
Anabaena,22.43867,65.856
Anabaena,21.93417,65.4375
Anabaena,21.95,65.40833
Anabaena,21.71983,65.32817
Anabaena,21.80033,65.28567
Anabaena,21.48333,64.454
Anabaena,21.57567,64.47167
Anabaena,19.81983,63.4995
Anabaena,22.44633,65.73083
Anabaena,22.5745,65.63617
Anabaena,22.37517,65.80733
Anabaena,22.37533,65.807
Anabaena,22.44633,65.73
Anabaena,22.37483,65.80733
Anabaena,22.447,65.72967
Anabaena,22.57383,65.63583
Anabaena,19.808,63.5255
Anabaena,19.8205,63.50017
Anabaena,19.80667,63.525
Anabaena,19.80883,63.52317
Anabaena,12.05,55.169998
Anabaena,12.57,55.549999
Anabaena,11,55
Anabaena,11.98,55.900002
Anabaena,11.88333,58.33333
Anabaena,11.5625,58.06667
Anabaena,10.9,59.0083
Anabaena,10.62,56.52
Anabaena,11.9,55.919998
Anabaena,12.45,55.619999
Anabaena,12.3,54.98
Anabaena,12.21638,57.12211
Anabaena,12.95671,55.77092
Anabaena,12.91087,55.75554
Anabaena,18,59
Anabaena,11.61518,57.89177
Anabaena,10.62,55.599998
Anabaena,11.582563,57.886362
Anabaena,11.7225,55.715556
Anabaena,11.72,55.73
Anabaena,11.83,55.68
Anabaena,13.07522,55.67086
Anabaena,12.99632,55.612
Anabaena,11.8869,58.248
