taxa,species,Lon,Lat,bio1,bio8,bio9,bio18,altitude
Cyanobacteria,Anabaena,19.92334,63.61536,2.9,13.3,-4,169,9
Cyanobacteria,Anabaena,19.92145,63.61183,2.9,13.3,-4,169,9
Cyanobacteria,Anabaena,22.27768,65.63102,1.3,12.5,-6.4,145,21
Cyanobacteria,Anabaena,22.27467,65.63079,1.3,12.5,-6.4,145,21
Cyanobacteria,Anabaena,22.11444,65.51672,1.4,12.6,-6.2,146,15
Cyanobacteria,Anabaena,20.43181,63.71095,2.9,13.2,1.6,164,4
Cyanobacteria,Anabaena,20.42726,63.70906,2.9,13.2,1.6,164,4
Cyanobacteria,Anabaena,21.03525,64.85757,1.8,12.7,-5.4,166,30
Cyanobacteria,Anabaena,20.69044,63.84903,2.7,13,-4.3,165,27
Cyanobacteria,Anabaena,20.70346,63.83087,2.9,13.2,1.4,163,6
Cyanobacteria,Anabaena,21.97644,65.47475,1.5,12.6,-6.1,148,11
Cyanobacteria,Anabaena,22.04361,65.48991,1.5,12.6,-6.1,147,5
Cyanobacteria,Anabaena,22.25156,65.66445,1.3,12.5,-6.4,145,21
Cyanobacteria,Anabaena,20.39906,63.6908,2.9,13.2,-4.1,165,12
Cyanobacteria,Anabaena,20.39906,63.68799,2.9,13.2,-4.1,165,12
Cyanobacteria,Anabaena,22.446,65.73017,1.4,12.6,-6.3,146,1
Cyanobacteria,Anabaena,22.37533,65.80767,1.2,12.4,-6.4,146,11
Cyanobacteria,Anabaena,22.27341,65.62811,1.3,12.5,-6.4,145,21
Cyanobacteria,Anabaena,21.94304,65.5159,1.3,12.5,-6.3,148,34
Cyanobacteria,Anabaena,20.42767,63.71148,2.9,13.2,1.6,164,4
Cyanobacteria,Anabaena,20.69433,63.84746,2.7,13,-4.3,165,27
Cyanobacteria,Anabaena,22.23952,65.66597,1.3,12.5,-6.4,146,26
Cyanobacteria,Anabaena,20.40458,63.68592,2.9,13.2,-4.1,165,12
Cyanobacteria,Anabaena,19.8185,63.5,3,13.3,-3.8,171,2
Cyanobacteria,Anabaena,22.44617,65.73017,1.4,12.6,-6.3,146,1
Cyanobacteria,Anabaena,22.448,65.73017,1.4,12.6,-6.3,146,1
Cyanobacteria,Anabaena,19.80833,63.52533,2.9,13.3,-4,171,16
Cyanobacteria,Anabaena,11.76167,57.98967,7.2,12.4,1.6,201,17
Cyanobacteria,Anabaena,19.808,63.52467,2.9,13.3,-4,171,16
Cyanobacteria,Anabaena,22.44683,65.73017,1.4,12.6,-6.3,146,1
Cyanobacteria,Anabaena,19.17,63.29833,3.2,13.4,-3.6,175,1
Cyanobacteria,Anabaena,19.1375,63.2975,3.1,13.4,-3.6,176,9
Cyanobacteria,Anabaena,19.18167,63.3125,3.2,13.4,-3.6,175,1
Cyanobacteria,Anabaena,19.17797,63.31266,3.2,13.4,-3.6,175,1
Cyanobacteria,Anabaena,19.13652,63.29612,3.1,13.4,-3.6,176,9
Cyanobacteria,Anabaena,19.16534,63.29508,3.1,13.4,-3.6,176,9
Cyanobacteria,Anabaena,22.37617,65.80767,1.2,12.4,-6.4,146,11
Cyanobacteria,Anabaena,16.40717,58.60015,6.8,15,0.9,176,9
Cyanobacteria,Anabaena,12.77883,56.48467,7.1,14.6,1.5,232,135
Cyanobacteria,Anabaena,22.30867,65.6695,1.3,12.5,-6.4,146,17
Cyanobacteria,Anabaena,22.27183,65.68067,1.3,12.5,-6.4,146,17
Cyanobacteria,Anabaena,22.27917,65.6805,1.3,12.5,-6.4,146,17
Cyanobacteria,Anabaena,22.26583,65.6875,1.3,12.5,-6.4,146,17
Cyanobacteria,Anabaena,22.25167,65.66717,1.3,12.5,-6.4,146,17
Cyanobacteria,Anabaena,22.25783,65.6455,1.3,12.5,-6.4,145,21
Cyanobacteria,Anabaena,21.02817,64.84783,1.8,12.7,-5.4,166,30
