taxa,species,decimalLongitude,decimalLatitude,presence
Cyanobacteria,Dolichospermum ,22.27183,65.68067,1
Cyanobacteria,Dolichospermum ,22.27917,65.6805,1
Cyanobacteria,Dolichospermum ,22.26583,65.6875,1
Cyanobacteria,Dolichospermum ,22.25167,65.66717,1
Cyanobacteria,Dolichospermum ,22.25783,65.6455,1
Cyanobacteria,Dolichospermum ,21.02817,64.84783,1
Cyanobacteria,Dolichospermum ,22.27983,65.627,1
Cyanobacteria,Dolichospermum ,21.037,64.85717,1
Cyanobacteria,Dolichospermum ,22.24217,65.67233,1
Cyanobacteria,Dolichospermum ,22.262,65.6595,1
Cyanobacteria,Dolichospermum ,21.42767,65.3105,1
Cyanobacteria,Dolichospermum ,21.08333,64.82317,1
Cyanobacteria,Dolichospermum ,20.37767,63.687,1
Cyanobacteria,Dolichospermum ,20.26233,63.66917,1
Cyanobacteria,Dolichospermum ,20.26533,63.66967,1
Cyanobacteria,Dolichospermum ,20.366,63.693,1
Cyanobacteria,Dolichospermum ,19.91667,63.61417,1
Cyanobacteria,Dolichospermum ,20.399,63.698,1
Cyanobacteria,Dolichospermum ,20.4055,63.686,1
Cyanobacteria,Dolichospermum ,20.406,63.6905,1
Cyanobacteria,Dolichospermum ,20.39867,63.68967,1
Cyanobacteria,Dolichospermum ,20.2735,63.66433,1
Cyanobacteria,Dolichospermum ,20.27233,63.65933,1
Cyanobacteria,Dolichospermum ,20.26433,63.66183,1
Cyanobacteria,Dolichospermum ,12.05,57.4067,1
Cyanobacteria,Dolichospermum ,12.0292,57.36,1
Cyanobacteria,Dolichospermum ,11.76833,57.67833,1
Cyanobacteria,Dolichospermum ,11.80833,57.535,1
Cyanobacteria,Dolichospermum ,21.69033,65.396,1
Cyanobacteria,Dolichospermum ,21.61583,65.31283,1
Cyanobacteria,Dolichospermum ,21.61017,65.31517,1
Cyanobacteria,Dolichospermum ,21.564,65.3825,1
Cyanobacteria,Dolichospermum ,21.57767,65.37167,1
Cyanobacteria,Dolichospermum ,21.11767,64.7845,1
Cyanobacteria,Dolichospermum ,21.53467,65.337,1
Cyanobacteria,Dolichospermum ,21.53733,65.34217,1
Cyanobacteria,Dolichospermum ,21.68417,65.393,1
Cyanobacteria,Dolichospermum ,21.6405,65.3145,1
Cyanobacteria,Dolichospermum ,21.66417,65.29467,1
Cyanobacteria,Dolichospermum ,21.55083,65.3805,1
Cyanobacteria,Dolichospermum ,21.52433,65.39383,1
Cyanobacteria,Dolichospermum ,21.52133,65.32117,1
Cyanobacteria,Dolichospermum ,21.49033,65.359,1
Cyanobacteria,Dolichospermum ,21.47217,65.34817,1
Cyanobacteria,Dolichospermum ,21.49783,65.35783,1
Cyanobacteria,Dolichospermum ,21.5325,65.3565,1
Cyanobacteria,Dolichospermum ,20.495,63.829,1
Cyanobacteria,Dolichospermum ,22.4475,65.73,1
Cyanobacteria,Dolichospermum ,17.36984,62.46244,1
Cyanobacteria,Dolichospermum ,22.30283,65.67783,1
Cyanobacteria,Dolichospermum ,22.31433,65.6705,1
Cyanobacteria,Dolichospermum ,22.24667,65.6535,1
Cyanobacteria,Dolichospermum ,21.08133,64.82517,1
Cyanobacteria,Dolichospermum ,21.3135,65.358,1
Cyanobacteria,Dolichospermum ,22.24633,65.65067,1
Cyanobacteria,Dolichospermum ,21.03417,64.85683,1
Cyanobacteria,Dolichospermum ,22.263,65.6365,1
Cyanobacteria,Dolichospermum ,20.379,63.6875,1
Cyanobacteria,Dolichospermum ,20.36667,63.69233,1
Cyanobacteria,Dolichospermum ,19.92233,63.61383,1
Cyanobacteria,Dolichospermum ,20.39717,63.69383,1
Cyanobacteria,Dolichospermum ,20.40433,63.69217,1
Cyanobacteria,Dolichospermum ,20.358,63.6965,1
Cyanobacteria,Dolichospermum ,21.673,65.41617,1
Cyanobacteria,Dolichospermum ,21.7265,65.39967,1
Cyanobacteria,Dolichospermum ,21.68017,65.38883,1
