taxa,species,decimalLongitude,decimalLatitude,bathymetry,biogeo13mean,biogeo15tmax,parmax,salinityrange,nitratemean,nitraterange,phosphaterange,phosphateltmin,ppmean,ppmin,bio8,bio9,bio18,alt
Cyanobacteria,Nodularia spumigena,16.76903,58.61156,-10,7.75,18.6,46.0530014,1.32,0.194,0.85,0.374,0.186,0.005,0.002,14.9,0.7,175,42
Cyanobacteria,Nodularia spumigena,19.80817,63.525,-8,5.91,16.63,47.5320015,1.596,1.209,2.506,0.2,0.001,0.006,0.001,13.3,-4,171,16
Cyanobacteria,Nodularia spumigena,17.62533,58.803,-15,7.9,18.57,47.39400101,1.387,0.11,0.632,0.354,0.178,0.003,0.001,15.5,1.1,153,2
Cyanobacteria,Nodularia spumigena,18.2645,62.8635,-35,6.08,17.33,48.19200134,1.146,0.488,1.716,0.209,0.009,0.003,0.001,13.5,-3.3,184,48
Cyanobacteria,Nodularia spumigena,21.04117,64.82983,-6,4.81,15.79,44.97299957,3.345,4.844,3.11,0.043,0,0.002,0,12.7,-5.4,166,39
Cyanobacteria,Nodularia spumigena,18.26567,62.86333,-35,6.08,17.33,48.19200134,1.146,0.488,1.716,0.209,0.009,0.003,0.001,13.5,-3.3,184,48
Cyanobacteria,Nodularia spumigena,18.7065,63.15433,-42,6.36,16.33,47.53099823,1.293,0.522,1.885,0.206,0.008,0.003,0.001,13.5,-3.4,178,1
Cyanobacteria,Nodularia spumigena,19.822,63.50083,-8,5.91,16.63,47.5320015,1.596,1.209,2.506,0.2,0.001,0.006,0.001,13.3,-4,171,16
Cyanobacteria,Nodularia spumigena,19.8075,63.525,-8,5.91,16.63,47.5320015,1.596,1.209,2.506,0.2,0.001,0.006,0.001,13.3,-4,171,16
Cyanobacteria,Nodularia spumigena,19.807,63.5255,-8,5.91,16.63,47.5320015,1.596,1.209,2.506,0.2,0.001,0.006,0.001,13.3,-4,171,16
Cyanobacteria,Nodularia spumigena,11.10333,58.86833,-50,9.34,18.65,47.4659996,12.555,0.699,2.272,0.254,0.02,0.012,0.002,8.2,1.3,210,21
Cyanobacteria,Nodularia spumigena,14.2975,55.65,-20,9.1,18.71,45.64300156,1.044,0.042,0.222,0.303,0.343,0.002,0.001,15.3,2.3,167,41
Cyanobacteria,Nodularia spumigena,18.91088,57.68527,-7,8.64,18.99,50.17599869,0.63,0.02,0.288,0.285,0.262,0.001,0,8.2,5.1,138,11
Cyanobacteria,Nodularia spumigena,18.13132,57.40002,-9,8.9,18.7,50.19800186,0.757,0.058,0.642,0.297,0.254,0.001,0,8.6,1.6,131,7
Cyanobacteria,Nodularia spumigena,18.59833,57.855,-47,8.39,18.05,51.05599976,0.731,0.049,0.514,0.284,0.235,0.001,0,8.1,4.9,136,34
Cyanobacteria,Nodularia spumigena,19.03677,57.89317,-6,8.22,18.45,50.25400162,0.673,0.03,0.373,0.284,0.246,0.001,0,8,5,138,11
Cyanobacteria,Nodularia spumigena,18.86117,59.63282,-2,7.08,17.1,50.53900146,1.12,0.037,0.416,0.318,0.119,0.001,0,14.7,0,152,18
Cyanobacteria,Nodularia spumigena,18.26383,62.86383,-35,6.08,17.33,48.19200134,1.146,0.488,1.716,0.209,0.009,0.003,0.001,13.5,-3.3,184,48
Cyanobacteria,Nodularia spumigena,19.80867,63.52533,-8,5.91,16.63,47.5320015,1.596,1.209,2.506,0.2,0.001,0.006,0.001,13.3,-4,171,16
Cyanobacteria,Nodularia spumigena,18.26433,62.864,-35,6.08,17.33,48.19200134,1.146,0.488,1.716,0.209,0.009,0.003,0.001,13.5,-3.3,184,48
Cyanobacteria,Nodularia spumigena,18.2925,63.0035,-7,5.69,16.09,46.68600082,1.209,0.506,1.806,0.208,0.008,0.003,0.001,13.2,-3.5,186,67
Cyanobacteria,Nodularia spumigena,18.44812,62.94882,-18,5.85,15.94,50.47999954,1.191,0.492,1.764,0.208,0.009,0.003,0.001,13.4,-3.4,183,46
Cyanobacteria,Nodularia spumigena,11.68667,57.6675,-8,10.28,18.76,47.29000092,16.321,0.714,2.271,0.244,0.072,0.016,0.004,12.5,1.4,192,20
